query,wiki_id
Ghost Dog: The Way of the Samurai 1999 film Jim Jarmusch,471352
Big Trouble in Little China 1986 film John Carpenter,697113
Stray Dog 1949 film Akira Kurosawa,867905
Young Frankenstein 1974 film Mel Brooks,442647
Thomasine & Bushrod 1974 film Gordon Parks Jr.,4340576
Stop Making Sense 1984 film Jonathan Demme,1471831
Black Rain 1989 film Ridley Scott,3529964
Ring 1998 film Hideo Nakata,180785
"On the Town 1949 film Stanley Donen, Gene Kelly",12816415
The Taking of Pelham One Two Three 1974 film Joseph Sargent,955409
Audition 1999 film Takashi Miike,587265
Female Trouble 1974 film John Waters,1328186
"Sorry, Wrong Number 1948 film Anatole Litvak",183828
Spider-Man: Far From Home 2019 film Jon Watts,52179698
Beau Travail 2000 film Claire Denis,415881
But I'm a Cheerleader 2000 film Jamie Babbit,770156
Train to Busan 2016 film Yeon Sang-ho,65028249
Martial Law 1990 film Steve Cohen,18791040
Opponent 2023 film Milad Alami,74552614
12 Angry Men 1957 film Sidney Lumet,92605
Spider-Man: No Way Home 2021 film Jon Watts,52239333
Candyman 1992 film Bernard Rose,1256990
Poison 1991 film Todd Haynes,7444907
Get Out 2017 film Jordan Peele,48526729
Wayne's World 1992 film Penelope Spheeris,77744
Rosemary's Baby 1968 film Roman Polanski,9830229
Purple Rain 1984 film Albert Magnoli,226331
Teenage Mutant Ninja Turtles 1990 film Steve Barron,2323962
Dick Tracy 1990 film Warren Beatty,725984
My Own Private Idaho 1991 film Gus Van Sant,605198
"Kim Ji-young, Born 1982 2019 film Kim Do-young",64033010
Funny Games 1997 film Michael Haneke,3870912
Us 2019 film Jordan Peele,57371131
The Apple 1980 film Menahem Golan,5461234
Street of Chance 1942 film Jack Hively,3577967
V for Vendetta 2006 film James McTeigue,1891886
Across the Bridge 1957 film Ken Annakin,24817139
Zero Focus 1961 film Yoshitaro Nomura,13748529
Anselm 2023 film Wim Wenders,73588916
Black Tuesday 1954 film Hugo Fregonese,2321684
Hardly a Criminal 1949 film Hugo Fregonese,8959508
Cairo Station 1958 film Youssef Chahine,25626519
City of Fear 1959 film Irving Lerner,35107447
Elevator to the Gallows 1958 film Louis Malle,3837141
Field of Dreams 1989 film Phil Alden Robinson,129524
Buck and the Preacher 1972 film Sidney Poitier,18764211
Signs 2002 film M. Night Shyamalan,72453
Ravenous 1999 film Antonia Bird,874208
Cool World 1992 film Ralph Bakshi,600194
Ben-Hur 1959 film William Wyler,1343342
