timestamp,program,jupyter,python_exp,pandas_skill,os,dark_mode,languages,continents,dob,wake_time,sleep_time,fav_season,caffeine,pet,fav_movie,fav_genres,hobbies,hw0
9/9/2025 17:43:09,Bachelor's (CS),Yes,Less than 1 year,2,MacOS,No,English,"Africa, Asia, Europe, North America, South America",11/15/2004,10:00:00 AM,12:00:00 AM,Spring,Tea,Pet rock,,Comedy,"tennis, movies, eating",
9/9/2025 17:44:15,Bachelor's (Statistics),Yes,1-2 years,1,MacOS,Yes,English,North America,10/21/2004,9:00:00 AM,1:00:00 AM,Fall,Coffee,Pet cat,,"Action, Comedy, Sci-Fi, Mystery/Thriller",,
9/9/2025 17:44:16,Master's (DS),Yes,4+ years,5,MacOS,Yes,,"Asia, Australia, Europe, North America",2/22/2003,11:00:00 AM,1:00:00 AM,Winter,Coffee,Pet cat,,,,
9/9/2025 17:44:32,Bachelor's (AM),Yes,2-4 years,4,MacOS,Yes,English,"Europe, North America, South America",9/23/2004,7:25:00 AM,12:00:00 AM,Summer,No caffeine for me!,Pet cat,Shawshank Redemption,"Action, Comedy, Sci-Fi","hiking, running, reading",
9/9/2025 17:44:38,Bachelor's (Chemistry),Yes,1-2 years,4,MacOS,Yes,"English, Spanish",North America,6/14/2004,8:45:00 AM,12:00:00 AM,Winter,No caffeine for me!,Pet cat,Bee Movie,"Sci-Fi, Fantasy","playing cello, basketball, playing minecraft",
9/9/2025 17:44:45,MIT master’s,Yes,2-4 years,3,MacOS,No,"English, Greek, Spanish","Europe, North America, South America",1/11/2003,9:00:00 AM,12:30:00 AM,Summer,No caffeine for me!,Pet dog,Whiplash,"Action, Comedy, Horror, Sci-Fi, Fantasy, Mystery/Thriller","Music production, padel, basketball",
9/9/2025 17:45:08,,Yes,Less than 1 year,1,MacOS,No,English,"Africa, Asia, Europe, North America, South America",12/15/2002,8:00:00 AM,12:00:00 AM,Summer,Coffee,Pet dog,,"Comedy, Drama, Mystery/Thriller, Romance, Documentary",,
9/9/2025 17:45:19,Master's (DS) [Extension School],Yes,4+ years,3,Windows,Yes,Python R SQL,"Africa, Asia, Europe, North America, South America",11/27/1985,6:00:00 AM,10:00:00 PM,Fall,Coffee,Pet dog,Home Alone,Comedy,"Cycling, hiking, traveling ",
9/9/2025 17:45:23,Master's (DS),Yes,4+ years,3,Windows,No,"English, Mandarin","Asia, Australia, North America",9/6/2000,,,Fall,No caffeine for me!,Pet dog,,,,
9/9/2025 17:45:31,HKS Master's,Yes,Less than 1 year,1,Windows,No,Korean,Asia,7/7/1990,5:40:00 AM,11:40:00 PM,Winter,Coffee,Pet rock,Interstella,"Sci-Fi, Fantasy, Mystery/Thriller","Playing golf, Weightlifting, Investment",
9/9/2025 17:45:42,Bachelor's (Statistics),No,Less than 1 year,2,MacOS,Yes,"English, Ukrainian, Russian","Africa, Asia, Europe, North America, South America",9/23/2004,8:30:00 AM,1:00:00 AM,Fall,Coffee,Pet cat,The Fault in Our Stars,"Comedy, Drama, Fantasy, Mystery/Thriller, Romance, Documentary","chess, running, walking",
9/9/2025 17:45:59,Master of Finance at MIT,Yes,2-4 years,4,MacOS,Yes,"English, Chinese","Asia, North America, South America",1/4/2002,8:00:00 AM,11:45:00 PM,Fall,Tea,Pet dog,the prestige,"Action, Comedy, Sci-Fi, Mystery/Thriller, Romance, Documentary","Video gaming, tennis, piano",
9/9/2025 17:46:42,PhD,Yes,1-2 years,2,Windows,Yes,"English, Korean","Asia, Europe, North America",10/30/1994,8:00:00 AM,1:00:00 AM,Summer,Coffee,Pet dog,,"Action, Comedy, Sci-Fi, Mystery/Thriller, Documentary",,
9/9/2025 17:46:53,Master's (DS) [Extension School],Yes,1-2 years,3,Windows,No,"English,Thai","Asia, North America",1/22/2001,7:00:00 AM,10:00:00 PM,Spring,Tea,Pet cat,Rush Hour,"Comedy, Romance","gardening,napping,camping",
9/9/2025 17:46:58,Master's (DS),Yes,1-2 years,3,MacOS,No,Mandarin English French,Asia,1/12/2002,9:30:00 AM,12:00:00 AM,Summer,No caffeine for me!,Pet cat,love actually,"Action, Drama, Sci-Fi, Fantasy, Mystery/Thriller, Romance","Reading, musicals, traveling",
9/9/2025 17:48:24,Master's (DS),No,Less than 1 year,2,MacOS,Yes,"English, Mandarin","Asia, Australia, Europe, North America",8/27/2002,7:00:00 AM,1:30:00 AM,Fall,Coffee,Pet cat,Saw,"Horror, Mystery/Thriller","Taking photos, cafe hopping, watching movie",
9/9/2025 17:49:29,Master's (DS),Yes,2-4 years,4,MacOS,Yes,"English, Latin",North America,6/2/2003,7:00:00 AM,1:00:00 AM,Spring,Energy drinks,Pet rock,The Dark Knight,"Comedy, Horror, Mystery/Thriller","Playing the piano, reading latin, weightlifting",
9/9/2025 17:49:47,Bachelor's (Statistics),Yes,1-2 years,2,Windows,Yes,"English, Tamil","Asia, Europe, North America",8/17/2005,8:30:00 AM,1:30:00 AM,Fall,Tea,Pet rock,Inside Out 2,"Horror, Mystery/Thriller, Documentary","dancing, painting, playing tetris",
9/9/2025 17:50:27,Masters in Design Studies (MDes),Yes,Less than 1 year,1,Windows,Yes,"English, Cantonese, Mandarin ","Africa, Asia, Australia, Europe, North America, South America",4/9/1993,8:30:00 AM,12:30:00 AM,Fall,Coffee,Pet dog,Eternal Sunshine of the Spotless Mind,"Comedy, Drama, Romance, Documentary","Tennis, My Dog! , Cross Stitching",
9/9/2025 17:50:37,Bachelor's (CS),Yes,4+ years,2,MacOS,Yes,"English, Mandarin","Asia, Europe, North America",3/25/2004,8:30:00 AM,12:30:00 PM,Summer,Tea,Pet dog,Tenet,"Action, Drama, Sci-Fi, Fantasy, Romance","frisbee, tennis, card games",
9/9/2025 17:50:58,Bachelor's (Statistics),Yes,1-2 years,2,MacOS,Yes,"English, Arabic",Asia,10/6/2003,8:00:00 AM,1:00:00 AM,Spring,Coffee,Pet rock,You,Mystery/Thriller,"crying, screaming, sobbing",
9/9/2025 17:51:54,Bachelor's (CS),No,1-2 years,1,MacOS,No,"English, Ukrainian, French, Russian","Asia, Europe, North America",3/10/2005,8:30:00 AM,11:00:00 AM,Spring,No caffeine for me!,Pet dog,Titanic,"Action, Comedy, Drama, Sci-Fi, Fantasy, Mystery/Thriller, Romance","reading, going on walks, playing the piano",
9/9/2025 17:51:57,Bachelor's (CS),Yes,1-2 years,2,MacOS,No,"English, Hindi","Asia, Europe, North America",9/26/2005,8:00:00 AM,11:00:00 AM,Fall,Coffee,Pet rock,Crazy Stupid Love,"Action, Comedy, Romance","Journalism, guitar, golf",
9/9/2025 17:52:18,Bachelor's (AM),No,Less than 1 year,1,MacOS,Yes,"italian, english","Africa, Asia, Europe, North America, South America",,,12:00:00 AM,Spring,Energy drinks,Pet cat,,,photography,
9/9/2025 17:54:56,Bachelor's (CS),No,1-2 years,2,MacOS,Yes,"English, Arabic","Asia, Europe, North America",8/24/2006,9:00:00 AM,2:00:00 AM,Summer,Energy drinks,Pet cat,Avengers Endgame,"Action, Horror","Tennis, Video Games, Coding",
9/9/2025 17:55:00,MIT MFin,Yes,Less than 1 year,2,MacOS,Yes,Mandarin,"Asia, Europe, North America",,8:00:00 AM,11:00:00 PM,Fall,Coffee,Pet cat,Interstellar,"Action, Comedy, Sci-Fi, Fantasy, Mystery/Thriller","Reading, playing video games, listening to music",
