timestamp,program,jupyter,python_exp,pandas_skill,os,dark_mode,languages,continents,dob,wake_time,sleep_time,fav_season,caffeine,pet,fav_movie,fav_genres,hobbies,hw0
2025-09-09 17:43:09,bachelor's (cs),True,less than 1 year,2,macos,False,english,"africa, asia, europe, north america, south america",2004-11-15,1900-01-01 10:00:00,1900-01-01 00:00:00,spring,tea,pet rock,,comedy,"tennis, movies, eating",
2025-09-09 17:44:15,bachelor's (statistics),True,1-2 years,1,macos,True,english,north america,2004-10-21,1900-01-01 09:00:00,1900-01-01 01:00:00,fall,coffee,pet cat,,"action, comedy, sci-fi, mystery/thriller",,
2025-09-09 17:44:16,master's (ds),True,4+ years,5,macos,True,,"asia, australia, europe, north america",2003-02-22,1900-01-01 11:00:00,1900-01-01 01:00:00,winter,coffee,pet cat,,,,
2025-09-09 17:44:32,bachelor's (am),True,2-4 years,4,macos,True,english,"europe, north america, south america",2004-09-23,1900-01-01 07:25:00,1900-01-01 00:00:00,summer,no caffeine for me!,pet cat,shawshank redemption,"action, comedy, sci-fi","hiking, running, reading",
2025-09-09 17:44:38,bachelor's (chemistry),True,1-2 years,4,macos,True,"english, spanish",north america,2004-06-14,1900-01-01 08:45:00,1900-01-01 00:00:00,winter,no caffeine for me!,pet cat,bee movie,"sci-fi, fantasy","playing cello, basketball, playing minecraft",
2025-09-10 10:35:35,mit master’s,True,2-4 years,3,macos,False,"english, greek, spanish","europe, north america, south america",2003-01-11,1900-01-01 09:00:00,1900-01-01 00:30:00,summer,no caffeine for me!,pet dog,whiplash,"action, comedy, horror, sci-fi, fantasy, mystery/thriller","music production, padel, basketball",🧐
2025-09-09 17:45:08,,True,less than 1 year,1,macos,False,english,"africa, asia, europe, north america, south america",2002-12-15,1900-01-01 08:00:00,1900-01-01 00:00:00,summer,coffee,pet dog,,"comedy, drama, mystery/thriller, romance, documentary",,
2025-09-09 17:45:19,master's (ds) [extension school],True,4+ years,3,windows,True,python r sql,"africa, asia, europe, north america, south america",1985-11-27,1900-01-01 06:00:00,1900-01-01 22:00:00,fall,coffee,pet dog,home alone,comedy,"cycling, hiking, traveling",
2025-09-09 17:45:23,master's (ds),True,4+ years,3,windows,False,"english, mandarin","asia, australia, north america",2000-09-06,,,fall,no caffeine for me!,pet dog,,,,
2025-09-09 17:45:31,hks master's,True,less than 1 year,1,windows,False,korean,asia,1990-07-07,1900-01-01 05:40:00,1900-01-01 23:40:00,winter,coffee,pet rock,interstella,"sci-fi, fantasy, mystery/thriller","playing golf, weightlifting, investment",
2025-09-09 17:45:42,bachelor's (statistics),False,less than 1 year,2,macos,True,"english, ukrainian, russian","africa, asia, europe, north america, south america",2004-09-23,1900-01-01 08:30:00,1900-01-01 01:00:00,fall,coffee,pet cat,the fault in our stars,"comedy, drama, fantasy, mystery/thriller, romance, documentary","chess, running, walking",
2025-09-09 17:45:59,master of finance at mit,True,2-4 years,4,macos,True,"english, chinese","asia, north america, south america",2002-01-04,1900-01-01 08:00:00,1900-01-01 23:45:00,fall,tea,pet dog,the prestige,"action, comedy, sci-fi, mystery/thriller, romance, documentary","video gaming, tennis, piano",
2025-09-09 17:46:42,phd,True,1-2 years,2,windows,True,"english, korean","asia, europe, north america",1994-10-30,1900-01-01 08:00:00,1900-01-01 01:00:00,summer,coffee,pet dog,,"action, comedy, sci-fi, mystery/thriller, documentary",,
