program,jupyter,python_experience,pandas_skill,os,dark_mode,languages,continents,dob,waketime,bedtime,fav_season,caffeine,pet,fav_movie,fav_genres,hobbies,hw0,num_languages,age
bachelor's (cs),yes,Less than 1 year,2,MacOS,False,english,"africa, asia, europe, north america, south america",2004-11-15,1900-01-01 10:00:00,12:00:00 am,spring,tea,pet rock,,comedy,"tennis, movies, eating",,1,20.0
bachelor's (statistics),yes,1-2 years,1,MacOS,True,english,north america,2004-10-21,1900-01-01 09:00:00,1:00:00 am,fall,coffee,pet cat,,"action, comedy, sci-fi, mystery/thriller",,,1,20.0
bachelor's (am),yes,2-4 years,4,MacOS,True,english,"europe, north america, south america",2004-09-23,1900-01-01 07:25:00,12:00:00 am,summer,no caffeine for me!,pet cat,shawshank redemption,"action, comedy, sci-fi","hiking, running, reading",,1,20.0
bachelor's (chemistry),yes,1-2 years,4,MacOS,True,"english, spanish",north america,2004-06-14,1900-01-01 08:45:00,12:00:00 am,winter,no caffeine for me!,pet cat,bee movie,"sci-fi, fantasy","playing cello, basketball, playing minecraft",,2,21.0
mit master’s,yes,2-4 years,3,MacOS,False,"english, greek, spanish","europe, north america, south america",2003-01-11,1900-01-01 09:00:00,12:30:00 am,summer,no caffeine for me!,pet dog,whiplash,"action, comedy, horror, sci-fi, fantasy, mystery/thriller","music production, padel, basketball",,3,22.0
,yes,Less than 1 year,1,MacOS,False,english,"africa, asia, europe, north america, south america",2002-12-15,1900-01-01 08:00:00,12:00:00 am,summer,coffee,pet dog,,"comedy, drama, mystery/thriller, romance, documentary",,,1,22.0
master's (ds) [extension school],yes,4+ years,3,Windows,True,python r sql,"africa, asia, europe, north america, south america",1985-11-27,1900-01-01 06:00:00,10:00:00 pm,fall,coffee,pet dog,home alone,comedy,"cycling, hiking, traveling ",,1,39.0
master's (ds),yes,4+ years,3,Windows,False,"english, mandarin","asia, australia, north america",2000-09-06,,,fall,no caffeine for me!,pet dog,,,,,2,25.0
hks master's,yes,Less than 1 year,1,Windows,False,korean,asia,1990-07-07,1900-01-01 05:40:00,11:40:00 pm,winter,coffee,pet rock,interstella,"sci-fi, fantasy, mystery/thriller","playing golf, weightlifting, investment",,1,35.0
bachelor's (statistics),no,Less than 1 year,2,MacOS,True,"english, ukrainian, russian","africa, asia, europe, north america, south america",2004-09-23,1900-01-01 08:30:00,1:00:00 am,fall,coffee,pet cat,the fault in our stars,"comedy, drama, fantasy, mystery/thriller, romance, documentary","chess, running, walking",,3,20.0
